Disease,Group,Strategy,Augmenter,AUC_ROC,AUC_PR,Accuracy,Precision,Recall,Specificity,F1,Len Aug_x,AUC_no_aug,F1_no_aug
Hypertriglyceridemia,Group_1,G1_50,Aug_5,0.7205,0.1469,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_6,0.6424,0.0826,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_7,0.6952,0.1177,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_8,0.7242,0.1276,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_9,0.7492,0.1543,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_10,0.7254,0.1429,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_11,0.7468,0.2012,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_12,0.7177,0.1323,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_13,0.7334,0.1484,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_14,0.7605,0.1634,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_15,0.7219,0.1638,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_16,0.7352,0.1644,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_17,0.7501,0.2464,0.94516129,nan,0,1,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_0,0.7081,0.1526,0.948387097,0.666666667,0.117647059,0.996587031,0.2,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_1,0.731,0.1373,0.938709677,0.25,0.058823529,0.989761092,0.095238095,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_2,0.7304,0.1369,0.938709677,0.25,0.058823529,0.989761092,0.095238095,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_3,0.7139,0.1542,0.941935484,0.333333333,0.058823529,0.993174061,0.1,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_4,0.6792,0.1182,0.938709677,0.25,0.058823529,0.989761092,0.095238095,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_5,0.7181,0.1814,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_6,0.685,0.1169,0.932258065,0,0,0.986348123,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_7,0.6671,0.1315,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_8,0.7382,0.1587,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_9,0.7159,0.1567,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_10,0.7392,0.1735,0.941935484,0.4,0.117647059,0.989761092,0.181818182,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_11,0.697,0.1554,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_12,0.7629,0.2268,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_13,0.7505,0.1863,0.941935484,0.333333333,0.058823529,0.993174061,0.1,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_14,0.7772,0.2111,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_15,0.7312,0.1626,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_16,0.7107,0.1787,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_17,0.7412,0.161,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_0,0.7948,0.3009,0.948387097,0.666666667,0.117647059,0.996587031,0.2,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_1,0.7946,0.2268,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_2,0.7852,0.1862,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_3,0.7848,0.2559,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_4,0.7745,0.2238,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_5,0.8063,0.2867,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_6,0.7812,0.2521,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_7,0.7924,0.231,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_8,0.799,0.2952,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_9,0.7892,0.3303,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_10,0.7826,0.354,0.948387097,0.666666667,0.117647059,0.996587031,0.2,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_11,0.7446,0.2737,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_12,0.7695,0.2394,0.941935484,0.333333333,0.058823529,0.993174061,0.1,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_13,0.796,0.2315,0.941935484,0.333333333,0.058823529,0.993174061,0.1,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_14,0.7766,0.2503,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_15,0.7669,0.2477,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_16,0.802,0.3079,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_17,0.7743,0.32,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_0,0.7731,0.1954,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_1,0.746,0.1525,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_2,0.7231,0.1598,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_3,0.7509,0.1827,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_4,0.7135,0.1283,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_5,0.7079,0.1277,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_6,0.7181,0.1351,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_7,0.6778,0.1214,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_8,0.7563,0.1687,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_9,0.7185,0.1234,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_10,0.7808,0.1791,0.932258065,0,0,0.986348123,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_11,0.7221,0.1301,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_12,0.6922,0.1371,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_13,0.7418,0.163,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_14,0.7382,0.1606,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_15,0.7021,0.1384,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_16,0.7713,0.1395,0.935483871,0,0,0.989761092,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_17,0.736,0.1352,0.938709677,0,0,0.993174061,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_0,0.7464,0.2575,0.948387097,0.666666667,0.117647059,0.996587031,0.2,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_1,0.7539,0.2122,0.951612903,0.75,0.176470588,0.996587031,0.285714286,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_2,0.7733,0.2158,0.948387097,0.666666667,0.117647059,0.996587031,0.2,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_3,0.7533,0.2655,0.951612903,0.75,0.176470588,0.996587031,0.285714286,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_4,0.7651,0.1997,0.94516129,0.5,0.117647059,0.993174061,0.19047619,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_5,0.6914,0.2473,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_6,0.7266,0.1771,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_7,0.7057,0.2423,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_8,0.7294,0.2241,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_9,0.778,0.2329,0.941935484,0,0,0.996587031,nan,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_10,0.7456,0.2899,0.948387097,0.666666667,0.117647059,0.996587031,0.2,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_11,0.7404,0.2309,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_12,0.6972,0.2235,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_13,0.691,0.2549,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_14,0.6956,0.2659,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_15,0.6832,0.2264,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_16,0.7555,0.3057,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Hypertriglyceridemia,Group_1,G1_50,Aug_17,0.7609,0.2245,0.94516129,0.5,0.058823529,0.996587031,0.105263158,1755,0.69493,0.106432749
Venous Insufficiency,Group_1,G1_50,Aug_0,0.8118,0.424,0.935483871,0.666666667,0.095238095,0.996539792,0.166666667,1731,0.77232,0.171280024
Venous Insufficiency,Group_1,G1_50,Aug_1,0.8136,0.2959,0.932258065,0.5,0.095238095,0.993079585,0.16,1731,0.77232,0.171280024
Venous Insufficiency,Group_1,G1_50,Aug_2,0.8288,0.4064,0.941935484,0.8,0.19047619,0.996539792,0.307692308,1731,0.77232,0.171280024
Venous Insufficiency,Group_1,G1_50,Aug_3,0.8372,0.5229,0.932258065,nan,0,1,nan,1731,0.77232,0.171280024
Venous Insufficiency,Group_1,G1_50,Aug_4,0.8123,0.3459,0.932258065,0.5,0.095238095,0.993079585,0.16,1731,0.77232,0.171280024
Venous Insufficiency,Group_1,G1_50,Aug_5,0.7904,0.2153,0.932258065,nan,0,1,nan,1731,0.77232,0.171280024
Venous Insufficiency,Group_1,G1_50,Aug_6,0.8107,0.3232,0.932258065,0.5,0.095238095,0.993079585,0.16,1731,0.77232,0.171280024
